country_code,year,refugees_from,idps_from,asylum_seekers_from
PAK,2018,132248,96384,75337
PAK,2019,136902,100680,66245
PAK,2020,133280,98898,61429
PAK,2021,132818,98898,56687
PAK,2022,112357,0,59126
PAK,2023,94481,0,72068
PAK,2024,86285,3439,82958
PAK,2025,90497,0,65066
LKA,2015,121427,44934,14782
LKA,2016,117472,39730,15462
LKA,2017,115632,39322,18934
LKA,2018,113955,35473,14517
LKA,2019,110341,25110,16062
LKA,2020,142664,25013,15061
LKA,2021,151112,8767,12209
LKA,2022,148144,8540,15169
LKA,2023,145319,4806,18076
LKA,2024,147033,4806,33347
LKA,2025,148369,4099,33564
TUR,2015,59545,0,12073
TUR,2016,57915,0,23236
TUR,2017,61383,0,33801
TUR,2018,68900,0,42915
TUR,2019,83239,0,46941
TUR,2020,93730,0,44517
TUR,2021,105019,0,46327
TUR,2022,93537,0,82737
TUR,2023,127738,0,153142
TUR,2024,139640,0,158221
TUR,2025,149405,0,117576
SSD,2015,778722,1790427,4104
SSD,2016,1436707,1853924,5792
SSD,2017,2439888,1903953,6452
SSD,2018,2285301,1878154,12701
SSD,2019,2234805,1665815,5616
SSD,2020,2188785,1600254,4858
SSD,2021,2362759,2017236,5037
SSD,2022,2295082,1474679,5228
SSD,2023,2292482,1236672,24596
SSD,2024,2290622,944631,32841
SSD,2025,2386499,1277527,123984
ETH,2015,85839,0,76680
ETH,2016,83958,0,78854
ETH,2017,87448,1078429,133659
ETH,2018,92232,2615800,133254
ETH,2019,93467,1733628,135267
ETH,2020,151426,2733628,125072
ETH,2021,149130,3646267,139211
ETH,2022,149603,2730000,121362
ETH,2023,158344,2561497,139424
ETH,2024,164423,2272533,158142
ETH,2025,164215,2378000,148616
SOM,2015,1123144,1133000,56664
SOM,2016,1012320,1562554,60491
SOM,2017,986386,2116705,58320
SOM,2018,949637,2648001,55852
SOM,2019,901596,2648000,53083
SOM,2020,812356,2967500,53824
SOM,2021,776678,2967500,59605
SOM,2022,786794,2967500,56893
SOM,2023,842044,3860099,179224
SOM,2024,894120,3861643,237183
SOM,2025,892037,3347408,236271
