country_code,indicator,year,value
AFG,fdi_net_inflows_pct_gdp,2017,0.274796791572807
AFG,fdi_net_inflows_pct_gdp,2016,0.516606084523093
AFG,fdi_net_inflows_pct_gdp,2015,0.88400046336123
AFG,fdi_net_inflows_pct_gdp,2014,0.209664794672203
AFG,fdi_net_inflows_pct_gdp,2013,0.239801184405551
AFG,fdi_net_inflows_pct_gdp,2012,0.285440893554571
AFG,fdi_net_inflows_pct_gdp,2011,0.293025179616803
AFG,fdi_net_inflows_pct_gdp,2010,1.20311798981139
AFG,unemployment_rate,2025,13.351
AFG,unemployment_rate,2024,13.687
AFG,unemployment_rate,2023,14.008
AFG,unemployment_rate,2022,14.1
AFG,unemployment_rate,2021,12.006
AFG,unemployment_rate,2020,11.71
AFG,unemployment_rate,2019,11.187
AFG,unemployment_rate,2018,11.192
AFG,unemployment_rate,2017,11.184
AFG,unemployment_rate,2016,10.116
AFG,unemployment_rate,2015,9.032
AFG,unemployment_rate,2014,7.915
AFG,unemployment_rate,2013,7.921
AFG,unemployment_rate,2012,7.875
AFG,unemployment_rate,2011,7.83
AFG,unemployment_rate,2010,7.809
ARE,fiscal_balance_pct_gdp,2024,0.388175773737928
ARE,fiscal_balance_pct_gdp,2023,0.746043890605662
ARE,fiscal_balance_pct_gdp,2022,0.0866519332162338
ARE,fiscal_balance_pct_gdp,2021,0.723420246282824
ARE,fiscal_balance_pct_gdp,2020,1.52433203333886
ARE,fiscal_balance_pct_gdp,2019,1.00989737769591
ARE,fiscal_balance_pct_gdp,2018,0.304314350496807
ARE,fiscal_balance_pct_gdp,2017,0.176255453261709
ARE,fiscal_balance_pct_gdp,2016,0.113621754738987
ARE,fiscal_balance_pct_gdp,2015,-0.00644326403716772
ARE,fiscal_balance_pct_gdp,2014,-0.0814685014756499
ARE,fiscal_balance_pct_gdp,2013,0.217380522482608
ARE,fiscal_balance_pct_gdp,2012,-0.182046254556401
ARE,fiscal_balance_pct_gdp,2011,0.0718886358430584
ARE,interest_payments_pct_revenue,2024,3.0388427510985
ARE,interest_payments_pct_revenue,2023,1.92498132600234
ARE,interest_payments_pct_revenue,2022,1.1786818753689
ARE,interest_payments_pct_revenue,2021,0.340713650725389
ARE,interest_payments_pct_revenue,2020,0.079158266303592
