country_code,year,debt_to_gdp,current_account_pct_gdp,reserves_months_imports,gdp_growth,inflation,currency_depreciation_pct,political_stability,government_effectiveness,rule_of_law,regulatory_quality,control_of_corruption,bank_npl_pct_loans,exports_pct_gdp,external_debt_pct_gni,external_debt_service_pct_exports,fdi_net_inflows_pct_gdp,fiscal_balance_pct_gdp,food_imports_pct_merch_imports,fuel_exports_pct_merch_exports,imports_pct_gdp,interest_payments_pct_revenue,private_credit_pct_gdp,remittances_pct_gdp,unemployment_rate,sovereign_default,imf_program_entry
AFG,2010,,-3.64331388234628,10.4573872731044,14.3624414710737,2.17853752389419,,90.33186330959856,85.27754463838703,83.25733013677888,77.10987587625603,98.99610074129755,49.9013229069412,,15.3334973971382,0.379800304581339,1.20311798981139,1.5031237019132,13.6918477995859,,,0.0142406244753313,11.5750442390122,2.38515836845792,7.809,0,0
ARE,2010,,,,1.60285004336325,0.877983288285867,,8.84596863015399,13.89918565998311,22.971090088342898,9.760612925907706,14.346722893229554,5.26698896173512,77.4455521760851,,,2.85854098227163,,6.00656231464003,49.9895856498744,58.040188125584,,,,2.798,0,0
BGD,2010,,1.82909794723498,4.32087922221628,5.57178818533122,8.12667639169917,,63.842856692116456,62.29166824104632,51.946623392391565,58.7363054926031,78.1223920061747,,16.0241126856916,21.3233746649766,5.08304182414987,1.06896766308322,-0.813674182832758,17.4240481119914,1.87340450699641,21.7787299851405,18.305351091756,40.9613226292342,9.41241447446753,3.379,0,0
BHR,2010,0.0,2.8727610009228,3.75492330902566,4.3342989754845,1.96188468334623,,46.62647034351679,26.673895234163787,22.28737392247268,5.371274898818544,39.37155975068698,,66.7027150376276,,,0.581105356633959,-4.58465827632565,7.61497583868662,74.3474756294398,48.8587714119882,4.16249161158658,64.9376677365426,,1.13,0,0
BTN,2010,54.37346894098876,-18.9069431459851,11.746972451322,11.9318738376229,7.03638316073019,,10.379953685785743,25.683042655613264,20.25286216290599,59.67845387772868,18.90375764363676,5.21442892752605,39.3870452376357,57.6608858212657,14.4166531632125,4.40487201345335,1.80979039290256,11.473583472712,1.17938116636528,65.623621455957,6.53087674119465,38.4589220348196,0.484146185181045,3.32,0,0
DJI,2010,,4.47357137871551,5.87691030696574,,3.95007875923886,,19.93341463720674,59.99400869813282,49.893171009786855,56.44749709986263,61.77023090164915,,,67.0646568443457,7.87953647772039,3.23415329697175,,,,,,33.1101651364158,2.89214171045678,26.368,0,0
DZA,2010,,6.87361929280343,36.7819414773254,4.80000000093564,3.91106195534028,,60.77047906790701,56.25992154393747,49.518337986743376,62.85816042669376,57.32561274454381,18.3099999999999,34.988229614912,4.08153905024031,1.03761416768697,1.29390467487817,,16.3010014984036,98.3108761995675,28.5029863779305,,13.7901331989861,0.110576948771302,9.96,0,0
EGY,2010,,-2.05668307641306,6.70121378987163,5.14723485746742,11.2651882653185,,53.04856755220156,52.698293907717385,34.35343546452386,35.378082074459336,64.469569398628,,21.3492458146859,17.1484993453553,6.20858249606502,2.91601657550141,-7.73391347588264,19.1408398397826,28.675015261694,26.5871042599039,20.5023891270984,33.0722952214189,5.68677117520305,8.757,0,0
ERI,2010,,,,2.19419034888082,,,50.37608218878701,73.62489939713855,72.91103590296851,90.93628957472431,68.15941778147662,,6.37837659786896,66.0762157560823,,5.72501513985957,,,,31.0930888587001,,21.2805376775865,,5.854,0,0
ETH,2010,,-2.1222608717343,2.69323946325897,12.5505383347633,8.14926402965082,,67.06614716975662,52.556027056029656,51.60901514887224,55.12963584544869,67.48968174853853,,,24.4334323010783,3.85484030213973,0.963030625359937,-2.73395742953724,10.8818231032271,0.0059779006247082,,2.61286039053196,,1.45702856682548,2.295,0,0
IND,2010,56.046819971823616,-3.25348368945179,7.76063411026838,8.49758470165625,11.9893899204245,,51.62529902685085,41.83666523240675,23.473043170115744,41.37356389353069,56.33422805990661,,22.4009332487945,17.520327243228,6.81923327447653,1.6350340943491,-3.48058118972693,3.5188131716977,17.2296552495647,26.8542732486216,22.8257875283649,50.5553749785224,3.19166058450459,7.631,0,0
IRN,2010,,,,5.79793830169604,10.0893629287979,,65.81678170908904,57.18336016863496,59.90793713076101,76.8905314798413,82.57247022803924,,24.399653282909,4.05805118001816,1.65816700398136,0.74916862626536,,15.2279504772143,70.8018189413379,19.3709904542309,,52.0229498170448,,13.679,0,0
IRQ,2010,,4.68412757383414,12.7409467178946,6.40256484471193,2.42986826837753,,81.96806051522584,73.27051046742044,74.54871050587782,62.65114105200183,87.5101117659411,,39.41682921428,,,1.00796493975113,,,99.7045850237878,34.0806504059643,,5.39309563014871,0.127565824992139,8.267,0,0
ISR,2010,,2.69529305304405,9.95126312641563,5.54470607068944,2.70270270270273,,47.092039176430966,0.0,0.0,0.0,22.051141660257805,,33.5712633456599,,,2.91791645550029,-3.94775250398531,7.33456393323271,0.86528471011638,32.1457670493261,11.9768235748665,67.0209708441445,0.238748873153953,8.48,0,0
JOR,2010,61.28728264378088,-6.23104500049183,8.45757169717942,2.6377158262256,4.84551875852116,,38.60025282897644,36.22459010237876,23.66208678087684,29.415097446702138,43.519654136918426,,,62.7590806656665,5.78863929536448,5.59019642688163,-4.40310276140482,16.2262641619845,1.07702929489453,,8.52510348081584,64.0144083027316,11.9954471861487,12.5,0,0
KWT,2010,,32.0485537270105,8.12731623049244,-2.37054804425912,4.49640287769787,,14.61351483807872,34.659882034879445,14.8756602334195,18.82057212260201,40.653645017421866,8.95258546965769,66.6735112696735,,,1.13036730425536,,15.3224711592641,92.7518711482029,30.3545103903329,,74.6393830657528,0.0041658901088885,1.82,0,0
LBN,2010,,-19.6443379596193,16.5857428867061,7.97513555844932,3.98347941855833,,63.59737113415225,45.65665447781917,45.88790914903053,32.37241017336928,76.06033285729976,,35.023122866407,126.083961601732,46.241965839348,11.1327936305686,-7.50285701526297,15.5783508924797,0.132265054585668,60.0735300752172,50.5047648430001,82.528480012555,17.9847875959222,6.768,0,0
LBY,2010,,22.2877634810811,38.5577154593852,5.0272476723775,2.79989500109265,,40.33157459191827,76.31434332308697,62.76462635611922,71.54255891486171,84.8564608725124,,66.2720071713114,,,2.36664960687642,,12.1710636780918,97.7181660474755,31.8052059029276,,9.26018623627628,,19.321,0,0
LKA,2010,100.0,-1.83339431574737,5.34354431776972,8.01596737040464,6.2176488930462,,47.64671578765531,43.94363689262794,32.6531151963754,35.08899215325593,53.02052003914741,,,37.3743097647659,12.3287816485283,0.814446067583227,-6.10516333108697,15.2488895536725,0.15783503417986,,42.2675705032621,24.6842616568486,7.03173223546081,4.784,0,0
MAR,2010,44.86349589809549,-3.89149487244856,7.27489844884876,3.49955709403216,0.993557401226392,,39.39804921868973,41.91765821098826,37.476772025171805,32.014056052236334,54.33053944614543,,29.7889486802284,27.462969464641,11.8546292970521,1.2299824583835,-3.72314519933894,11.4679756885026,3.31051983251718,39.7530309299157,8.34926887616703,83.2922890768629,6.36744217640963,9.09,0,0
MDV,2010,64.24336612797494,-7.57604640472633,2.09173932917729,6.7854678229144,6.14988536750173,,32.10378584408684,38.63706915525714,31.80677976147382,38.12222378419912,62.73577766193752,,,40.1281147350981,3.6430558027739,8.36376433060736,-13.4306696165602,22.3530849054993,0.0232160593731683,,10.4007633587786,47.6844927907076,0.122062735053023,10.875,0,0
NPL,2010,11.92372612171982,-0.79746599292911,6.01052214363673,4.81641464694573,9.32650410745395,,67.6271146590494,58.910612114095926,55.07776565294474,58.69466002363849,68.41142915016334,,9.58253617198229,23.4883074371496,10.5594747481963,0.548294665887946,-1.3733796175973,13.6500965652447,4.5184108995034e-05,36.4023696022884,4.61561735916517,54.589987785603,21.6469852746313,10.563,0,0
OMN,2010,,7.59476361744698,5.47673202539588,2.47199856582773,3.25657959078624,,14.374926830777692,29.041852797704177,12.556638996288902,6.403129816450978,35.27278090704484,,59.0956382553021,,,1.91196478591436,,12.1069374918903,77.7587802690782,37.2909163665466,,38.2119108803521,0.0600240096038415,3.911,0,0
PAK,2010,,-0.688324235118166,4.71850424926723,1.50171752152883,12.9388705634889,,88.57074636931401,61.408222796136094,50.88030914197821,54.10480206012023,84.07633843963826,,12.6372245592948,32.7811905556848,15.1401314827574,1.02791108080423,,13.0449649955641,5.71119451483388,19.3517774869368,,19.2854383363833,4.92604271661375,0.653,0,0
PSE,2010,,-13.4993932332553,1.18623230311646,5.77736205629419,3.74915727597096,,71.77707437866894,42.51790128733878,42.21832364451224,32.04777052964656,44.98868555081012,3.06818623299833,14.1228115477973,,,1.85860711452246,,24.1028042850256,0.265654761783648,54.3748386097196,,21.3595304440428,9.5764022790779,21.416,0,0
QAT,2010,,,,16.7315558489187,-2.42525675161714,,0.0,9.99814144478934,3.353521868026216,6.013275312261076,0.0,,62.3197092953046,,,3.73261315829573,,8.495068094908,92.5548513080755,23.7506175279123,,44.7018151478225,,0.45,0,0
SAU,2010,,13.5423706949189,30.5395328882404,5.0395150823517,5.33941733020905,,35.858321726760735,35.835450677203674,31.059242542633758,21.940693759294103,48.406230534695794,2.96818471895202,49.5697145263124,,,0.923670092367435,4.39157840467735,15.9456252927675,87.6208624921467,32.9799704964413,1.47496009537397,39.1641936148322,0.044770287230573,5.55,0,0
SDN,2010,,-2.92618988919934,0.793170652584922,3.85824195230107,12.9776663898014,,87.88485792714594,77.38530624361195,68.68347571155036,73.98530431360535,93.17203386520988,,17.4756063457453,41.2309784294958,4.21004682024409,3.50004539535845,-4.28316690032809,25.8755090057164,84.9525613268194,15.2527036042897,8.04710216560018,10.5026912651794,2.46856150399008,15.168,0,0
SOM,2010,,,,6.69435192550543,,,100.0,100.0,100.0,100.0,100.0,,,110.242347630463,,4.16696585149836,,,,,,,,18.741,0,0
SSD,2010,,,,5.49341639529945,1.16962180301108,,,,,,51.46009361139079,,61.4344828173072,,,,,,,29.5089655488059,,,,12.473,0,0
SYR,2010,,-0.598441906450217,11.659017145464,5.19150915015936,4.3974138315007,,55.89331869522511,58.9584398007591,49.29323873212676,55.889256527922,80.38954029852954,,32.1667841253209,9.1913069653018,3.14853680210342,2.39318605915641,,21.0381561064069,49.8858724288123,31.843378069124,,21.9364546932851,2.64296583627308,8.61,0,0
TUN,2010,24.127004312123447,-4.55447131361942,4.40578092536965,2.97113275066512,3.33897963601069,,34.895091324326074,28.076812173985328,32.2441302824769,31.994107465805158,50.798385920348224,,47.9597286942428,51.3363537259654,10.5185387559429,2.88814231758981,-1.30973368370442,9.35129741435547,14.1724455435595,52.1912811425565,6.2759625730357,52.247103865602,4.4654169829179,13.049,0,0
TUR,2010,40.0888679739306,-5.70254261669491,4.98149669912827,8.54219848467686,8.56644420552976,,42.03480180993094,30.674027954370704,23.89913685276931,21.11964670879539,42.779277278231,3.48959158482402,21.5899457839207,41.0990751678409,37.2333390546006,1.16274364749147,-2.73706177865043,3.99512236240813,3.83635976512141,25.3533908870685,10.6399113741961,44.0459707563417,0.232446499042421,11.879,0,0
YEM,2010,,-3.41069923528219,5.69994246463782,7.70128607527964,11.1748338605044,,87.48197372279253,68.97835786846625,60.108903424517166,45.58512225480651,79.14287612905572,,29.9950775630093,22.3614461274604,2.75557071670601,0.610357927076417,,30.7352639542148,91.4220414145968,34.3905592167085,,6.28934064963713,4.93743283602093,12.777,0,0
AFG,2011,,-12.6195382087159,10.3439728750425,0.426354776777345,11.8041858089129,0.634082093637926,88.67271145866894,85.82728100040711,86.09526470172247,77.59460032552352,97.55029820336875,4.6968178252385,,13.9770517017747,0.323576197641919,0.293025179616803,-0.630811517861432,14.0292708513797,,,0.0115304161485474,4.95918037606027,1.0059846865258,7.83,0,0
