country_code,year,access_to_electricity_pct,agriculture_pct_gdp,external_debt_private_nonguaranteed_usd,external_debt_public_publicly_guaranteed_usd,external_debt_stock_total_usd,gdp_per_capita_usd,gni_per_capita_atlas_usd,industry_pct_gdp,internet_users_pct,life_expectancy_years,manufacturing_pct_gdp,population,services_pct_gdp,urban_population_pct
AFG,2010,42.7,26.2100685374552,,1975547213.6,2435844906.0,560.621505463146,530.0,21.1514206977128,4.0,60.702,12.5225768432907,28284089.0,48.8793769096891,22.2614799010924
AFG,2011,43.2,23.7436639877543,,2032464249.9,2485331046.1,606.694676337726,550.0,22.7402524820273,5.0,61.25,13.7791892429929,29347708.0,49.6968203962567,22.8205691572485
AFG,2012,69.1,24.390873626371,,2079786013.4,2580623924.1,651.417134470046,640.0,21.1578071539751,5.454500198,61.735,12.4860851363953,30560034.0,50.5793979236606,23.3434391310979
AFG,2013,68.0,22.8106627361766,,2106231492.2,2587774666.5,637.087099117099,670.0,20.4446053132561,5.900000095,62.188,11.4998672561905,31622704.0,52.6827434733525,23.8077136743646
AFG,2014,89.5,22.1370413719574,,2020951888.7,2529865267.8,625.054941813938,640.0,21.2296632181805,7.0,62.26,11.477587555803,32792523.0,52.9908650351499,24.1910166387726
AFG,2015,71.5,20.6343227166798,19000000.0,1989954793.3,2596917266.2,565.569730408751,590.0,22.1240424906926,8.260000229,62.27,11.4200060049012,33831764.0,53.2352934986503,24.4649118421568
AFG,2016,97.7,25.7403140364582,15000000.0,1949505964.6,2596050086.4,522.082215583898,560.0,10.4668076938201,11.0,62.646,4.1141966128347,34700612.0,59.0232164144095,24.6588345720126
AFG,2017,97.7,26.4201990834448,16000000.0,1981566648.7,2751986638.9,525.469770891619,530.0,10.0518739969063,13.5,62.406,3.53042246146676,35688935.0,58.3290500097748,24.8352821238871
AFG,2018,93.4,22.0428967527575,21543000.0,1948884923.6,2678760424.2,491.337221382603,520.0,13.3872469597976,16.79999924,62.443,6.16017721650239,36743039.0,59.4774229106653,24.9991645191406
AFG,2019,97.7,25.7739707394105,21293000.0,1943607688.1,2661685956.5,496.6025042585,520.0,14.0581123697768,17.60000038,62.941,7.04318108092508,37856121.0,55.4728067408306,25.1437258839803
AFG,2020,97.7,29.9755825210461,17748000.0,1958449755.2,3040072312.4,510.787063366811,490.0,12.9525996015547,17.04850006,61.454,7.52811462924912,39068979.0,52.5721090890613,25.2622103446137
