country_code,year,bank_npl_pct_loans,exports_pct_gdp,external_debt_pct_gni,external_debt_service_pct_exports,fdi_net_inflows_pct_gdp,fiscal_balance_pct_gdp,food_imports_pct_merch_imports,fuel_exports_pct_merch_exports,imports_pct_gdp,interest_payments_pct_revenue,private_credit_pct_gdp,remittances_pct_gdp,unemployment_rate
AFG,2010,49.9013229069412,,15.3334973971382,0.379800304581339,1.20311798981139,1.5031237019132,13.6918477995859,,,0.0142406244753313,11.5750442390122,2.38515836845792,7.809
AFG,2011,4.6968178252385,,13.9770517017747,0.323576197641919,0.293025179616803,-0.630811517861432,14.0292708513797,,,0.0115304161485474,4.95918037606027,1.0059846865258,7.83
AFG,2012,4.95890140377645,,12.9281604362278,0.598756026259218,0.285440893554571,-0.640739779224387,4.27602344633308,,,0.0171919008924942,4.47210362973721,1.10218743514509,7.875
AFG,2013,4.85228704838131,,12.8048363659593,1.58322814481364,0.239801184405551,2.28247071623154,7.54684020369565,,,0.0350619479814528,4.3216854169302,1.72321110990224,7.921
AFG,2014,7.7810908959605,,12.3049882693651,1.93817780133484,0.209664794672203,-1.94743593413573,9.51326053298309,,,0.0518220686922314,3.94105709996345,1.23611373619901,7.915
AFG,2015,12.0536179767696,,13.4908301094464,3.29960835203606,0.88400046336123,-1.28044038464162,19.2271236461949,3.45045583056684,,0.101941745648561,3.98149379462535,1.82199581344675,9.032
AFG,2016,11.0743789647307,,14.1470450360055,4.333403208221,0.516606084523093,0.675796502619667,23.5599976538184,,,0.0915435039044285,3.88832174612488,3.46484306572226,10.116
AFG,2017,12.2018301907814,,14.5133427404056,4.35357201508207,0.274796791572807,0.355603091056577,36.7934457407199,5.23442813305688,,0.109378878694535,3.84188120492596,4.38709328246437,11.184
AFG,2018,8.88666018352578,,14.6424246657516,3.32380000211032,0.661572217787196,,34.0330576607125,10.2131805125,,,3.51231703339133,4.45098621835989,11.192
AFG,2019,,,13.9496520351375,2.97423809266455,0.124495985291258,,26.9158389109364,8.0512789669382,,,3.22995723026215,4.40742759471936,11.187
AFG,2020,,10.4208171386207,15.1208585304773,2.67397501265809,0.0649939571808755,,,,36.2890774127896,,3.09659808966059,3.95329685319887,11.71
AFG,2021,,14.342152797537,24.7857399527695,,0.144466946606861,,,,37.06956357719,,,,12.006
AFG,2022,,18.3800424016375,23.3368489761511,,,,,,54.5054272070161,,,,14.1
AFG,2023,,16.2352784419391,19.8909368152618,,,,,,50.764299620256,,,,14.008
AFG,2024,,15.7027518479481,,,,,,,68.0602732398198,,,,13.687
AFG,2025,,,,,,,,,,,,,13.351
ARE,2010,5.26698896173512,77.4455521760851,,,2.85854098227163,,6.00656231464003,49.9895856498744,58.040188125584,,,,2.798
ARE,2011,6.08629581295721,85.6286738245297,,,1.93886244385384,0.0718886358430584,6.51232628789495,53.5351069475687,58.5481559098621,,,,2.587
ARE,2012,7.12965175228016,95.6008433485867,,,2.43554180804761,-0.182046254556401,5.89138072219693,47.2314196497577,61.036813624374,,,,2.323
ARE,2013,5.85229580988926,95.755207057533,,,2.3838227555723,0.217380522482608,5.04314244016449,55.8450474819963,61.6429155817142,,,,2.125
ARE,2014,5.31214096469623,94.7738651442525,,,2.60546090290076,-0.0814685014756499,5.52683313407757,50.7904126785472,64.7417651694601,,,,1.999
ARE,2015,4.74620283630956,93.8625203312699,,,2.23861341413826,-0.00644326403716772,5.78591921199886,37.6515533891839,70.4236225679817,,,,1.793
ARE,2016,4.79735362210192,94.4747232332881,,,2.51620120421066,0.113621754738987,5.91080832504944,31.5589751074458,70.9202430070485,,81.9398449176157,,1.64
ARE,2017,4.99704232082411,94.737385589121,,,2.5669608321193,0.176255453261709,6.99707888598958,35.9982377334342,70.7391380638734,,78.1488923243763,,2.462
ARE,2018,5.25650797811493,90.8429799324319,,,2.35729206588897,0.304314350496807,7.30579317402429,68.5381737167988,63.9040622338676,,73.9843078244922,,2.236
ARE,2019,6.02686885240592,93.3023068879995,,,4.11928554446951,1.00989737769591,6.18405146475468,77.8387271988389,70.5198421376147,0.00201529963006026,75.2884970259968,,2.331
ARE,2020,7.57146032262558,98.0724956970145,,,5.56735667729859,1.52433203333886,6.82659326418843,71.434331985329,83.2194445309836,0.079158266303592,88.835691606539,,4.294
ARE,2021,7.28694437688478,100.642599583908,,,4.89230595097426,0.723420246282824,5.35670321702564,70.3219846270872,82.2668014928681,0.340713650725389,76.167662138751,,3.105
ARE,2022,6.55317267111425,102.051988781325,,,4.44591398367961,0.0866519332162338,5.58446625724263,73.1440771980313,83.689671850569,1.1786818753689,65.4574311816346,,2.872
ARE,2023,5.30826886216617,106.846123390953,,,5.87183983564899,0.746043890605662,4.98896751809272,68.202872587783,92.1988267361531,1.92498132600234,,0.359500398100958,2.151
ARE,2024,4.13722730162714,,,,8.26261604873876,0.388175773737928,,,,3.0388427510985,,0.325377481632911,2.16
ARE,2025,,,,,,,,,,,,,2.174
BGD,2010,,16.0241126856916,21.3233746649766,5.08304182414987,1.06896766308322,-0.813674182832758,17.4240481119914,1.87340450699641,21.7787299851405,18.305351091756,40.9613226292342,9.41241447446753,3.379
BGD,2011,1.9042059394074,19.9220749554939,19.4870042621521,5.629773751522,0.983399364184761,-0.822744381919415,19.4937925236267,1.15197562004724,27.4987748801959,15.8622555734813,42.4702411629772,9.3859804789798,3.737
BGD,2012,6.72327958982541,20.1615888640625,20.1641903015642,6.03570025042511,1.18850391920183,-0.1373990191993,14.4704238243695,1.82373354611352,27.9493338849842,16.744483390165,43.0006693750914,10.5915144036117,4.07
