variable,test_year,country_code,train_through_year,n_train_country_years,forecast,actual,abs_error,naive_forecast,naive_abs_error
gdp_growth,2016,AFG,2015,162,6.892562608060238,2.26031420279821,4.632248405262027,1.45131466066431,0.8089995421339
gdp_growth,2016,ARE,2015,162,4.576889038898123,5.65790147196586,1.0810124330677366,7.08766622657654,1.4297647546106802
gdp_growth,2016,BGD,2015,162,6.151207755190308,7.11347821270093,0.9622704575106225,6.55263987816197,0.5608383345389605
gdp_growth,2016,BHR,2015,162,4.141487417993208,3.81499327422425,0.3264941437689579,2.50787205267615,1.3071212215480998
gdp_growth,2016,BTN,2015,162,5.578366138648941,8.47594339232963,2.897577253680688,6.66080128866197,1.8151421036676592
gdp_growth,2016,DJI,2015,162,7.262328228779842,7.1234323372872,0.13889589149264214,7.30898563450799,0.18555329722078984
gdp_growth,2016,DZA,2015,162,3.132400452222165,3.90000000017621,0.767599547954045,3.20000000089023,0.6999999992859802
gdp_growth,2016,EGY,2015,162,2.079786068609504,4.34664345601914,2.266857387409636,4.37201907781687,0.02537562179773012
gdp_growth,2016,ETH,2015,162,10.312552315589777,9.43348265981905,0.879069655770726,10.3924630141307,0.9589803543116489
gdp_growth,2016,IND,2015,162,5.935776566703046,8.25630550176662,2.3205289350635745,7.99625378567987,0.2600517160867506
gdp_growth,2016,IRN,2015,162,1.416788362738283,8.8150866425182,7.398298279779917,-1.42488493937503,10.23997158189323
gdp_growth,2016,IRQ,2015,162,8.786826636449055,13.7873730187089,5.000546382259845,2.60676642939541,11.18060658931349
gdp_growth,2016,ISR,2015,162,4.405727949846341,4.53601939236572,0.13029144251937907,2.23599889603805,2.30002049632767
gdp_growth,2016,JOR,2015,162,2.887331078452097,2.11166806967252,0.7756630087795768,2.52261671092148,0.41094864124896
gdp_growth,2016,KWT,2015,162,4.7107641858290465,2.92607584256388,1.7846883432651666,0.592770817217982,2.333305025345898
gdp_growth,2016,LBN,2015,162,3.2807404043373305,1.55454940856943,1.7261909957679005,0.462320792597581,1.092228615971849
gdp_growth,2016,LBY,2015,162,-0.7019125734860661,-1.4909411172622,0.789028543776134,-0.842656252118843,0.648284865143357
gdp_growth,2016,LKA,2015,162,7.571423934800426,5.05362488993089,2.5177990448695358,4.20595547501601,0.84766941491488
gdp_growth,2016,MAR,2015,162,3.7297692264295077,0.52118550608968,3.2085837203398277,4.34458297635238,3.8233974702627003
gdp_growth,2016,MDV,2015,162,7.074364544808358,6.37528306716864,0.6990814776397176,3.86813536494475,2.50714770222389
gdp_growth,2016,NPL,2015,162,4.527247948425295,0.433113719381524,4.094134229043771,3.97605327162971,3.5429395522481864
gdp_growth,2016,OMN,2015,162,4.310171913464327,5.04642394571691,0.7362520322525832,5.01705799719045,0.02936594852646035
gdp_growth,2016,PAK,2015,162,3.2476259185209093,6.57383828511043,3.3262123665895205,4.21794209572506,2.35589618938537
gdp_growth,2016,PSE,2015,162,5.387856685047307,8.86461881995935,3.4767621349120432,3.72129967114788,5.14331914881147
gdp_growth,2016,QAT,2015,162,7.731670064895547,3.06419188430156,4.667478180593987,4.75334572438737,1.68915384008581
gdp_growth,2016,SAU,2015,162,6.332316658004216,1.70404739202878,4.628269265975436,4.65512316652699,2.95107577449821
gdp_growth,2016,SDN,2015,162,-3.8904359566354865,3.46764218409288,7.358078140728367,1.91017689052751,1.5574652935653701
gdp_growth,2016,SOM,2015,162,7.768924213010492,7.03487260042162,0.7340516125888721,10.4621881235147,3.42731552309308
gdp_growth,2016,SYR,2015,162,-15.591672460269766,-6.40568496867387,9.185987491595895,-4.17969204561759,2.22599292305628
gdp_growth,2016,TUN,2015,162,2.199998999962165,1.117231963992,1.0827670359701649,0.967834205635981,0.1493977583560191
gdp_growth,2016,TUR,2015,162,7.611454085839729,3.32366508200445,4.287789003835279,5.80557386628684,2.4819087842823904
gdp_growth,2016,YEM,2015,162,4.6858070484260335,-9.37512379736752,14.060930845793553,-27.9945462502541,18.61942245288658
gdp_growth,2017,AFG,2016,194,5.688687177292001,2.6470032027451,3.0416839745469013,2.26031420279821,0.3866889999468901
gdp_growth,2017,ARE,2016,194,5.351346234574534,-1.06137114472548,6.412717379300014,5.65790147196586,6.71927261669134
gdp_growth,2017,BGD,2016,194,6.110626863617991,6.59024999794057,0.47962313432257897,7.11347821270093,0.5232282147603602
gdp_growth,2017,BHR,2016,194,3.564519240543472,4.95383534123657,1.3893161006930983,3.81499327422425,1.1388420670123205
gdp_growth,2017,BTN,2016,194,5.380446353184858,2.08684522733067,3.293601125854188,8.47594339232963,6.389098164998959
gdp_growth,2017,DJI,2016,194,7.26408548325036,5.458091517212,1.8059939660383604,7.1234323372872,1.6653408200752002
gdp_growth,2017,DZA,2016,194,2.9935615637384725,1.49999999895587,1.4935615647826024,3.90000000017621,2.4000000012203397
gdp_growth,2017,EGY,2016,194,2.501263669261926,4.18122099961562,1.679957330353694,4.34664345601914,0.16542245640351982
gdp_growth,2017,ETH,2016,194,10.520368110792031,9.56418965754014,0.9561784532518907,9.43348265981905,0.13070699772108973
gdp_growth,2017,IND,2016,194,6.256238990971053,6.79538341902422,0.5391444280531665,8.25630550176662,1.4609220827424005
gdp_growth,2017,IRN,2016,194,-1.26213601184361,3.02685468694025,4.28899069878386,8.8150866425182,5.788231955577949
gdp_growth,2017,IRQ,2016,194,5.312832830281551,-1.81975035118309,7.132583181464641,13.7873730187089,15.60712336989199
gdp_growth,2017,ISR,2016,194,3.51891226438802,4.34394518932547,0.8250329249374495,4.53601939236572,0.19207420304025025
gdp_growth,2017,JOR,2016,194,2.9061060524297866,2.50770398070352,0.3984020717262666,2.11166806967252,0.3960359110309999
gdp_growth,2017,KWT,2016,194,3.4812070923856693,-4.71222270495362,8.193429797339288,2.92607584256388,7.6382985475175
gdp_growth,2017,LBN,2016,194,2.5140504746474646,0.903028464073813,1.6110220105736515,1.55454940856943,0.651520944495617
gdp_growth,2017,LBY,2016,194,-0.6110922739422119,32.4918021862688,33.10289446021101,-1.4909411172622,33.982743303531
gdp_growth,2017,LKA,2016,194,6.767684339114051,6.46068127080994,0.3070030683041107,5.05362488993089,1.40705638087905
gdp_growth,2017,MAR,2016,194,4.642611459315196,5.05789816173446,0.41528670241926413,0.52118550608968,4.536712655644781
gdp_growth,2017,MDV,2016,194,5.956267884546808,7.07442863215275,1.118160747605942,6.37528306716864,0.6991455649841098
gdp_growth,2017,NPL,2016,194,5.16321750621154,8.97727935643466,3.814061850223121,0.433113719381524,8.544165637053137
gdp_growth,2017,OMN,2016,194,4.441283331087203,0.304057565922449,4.137225765164755,5.04642394571691,4.742366379794461
gdp_growth,2017,PAK,2016,194,2.9419068854364996,4.43262590683975,1.4907190214032502,6.57383828511043,2.14121237827068
gdp_growth,2017,PSE,2016,194,4.003616008827574,1.41936756294787,2.5842484458797044,8.86461881995935,7.44525125701148
gdp_growth,2017,QAT,2016,194,7.501914618223588,-1.49760470227838,8.999519320501967,3.06419188430156,4.56179658657994
gdp_growth,2017,SAU,2016,194,6.640580096710403,1.18210705878283,5.458473037927574,1.70404739202878,0.52194033324595
gdp_growth,2017,SDN,2016,194,-3.162227218151088,0.70925628476644,3.871483502917528,3.46764218409288,2.75838589932644
gdp_growth,2017,SOM,2016,194,8.98806598934543,14.7357956045195,5.747729615174071,7.03487260042162,7.700923004097881
gdp_growth,2017,SYR,2016,194,-13.07279077677843,-0.723346297115341,12.349444479663088,-6.40568496867387,5.682338671558529
gdp_growth,2017,TUN,2016,194,1.9373766778073562,2.25261437620587,0.3152376983985137,1.117231963992,1.1353824122138698
gdp_growth,2017,TUR,2016,194,7.790794191729326,7.82585730002594,0.03506310829661441,3.32366508200445,4.50219221802149
gdp_growth,2017,YEM,2016,194,-5.282495853836083,-5.07179568062152,0.2107001732145628,-9.37512379736752,4.303328116746
gdp_growth,2018,AFG,2017,226,5.1035916214654895,1.18922812944517,3.9143634920203194,2.6470032027451,1.45777507329993
gdp_growth,2018,ARE,2017,226,6.946248313000514,1.53720634021511,5.409041972785404,-1.06137114472548,2.59857748494059
gdp_growth,2018,BGD,2017,226,6.376007107147093,7.31941263014136,0.9434055229942668,6.59024999794057,0.72916263220079
gdp_growth,2018,BHR,2017,226,3.337777347352972,2.05258864979861,1.285188697554362,4.95383534123657,2.90124669143796
gdp_growth,2018,BTN,2017,226,7.299333347266985,3.50187185732737,3.797461489939615,2.08684522733067,1.4150266299966998
gdp_growth,2018,DJI,2017,226,7.284000979331493,4.77433934943193,2.509661629899563,5.458091517212,0.68375216778007
gdp_growth,2018,DZA,2017,226,3.6775363185412737,1.40000000088281,2.2775363176584635,1.49999999895587,0.09999999807306015
gdp_growth,2018,EGY,2017,226,2.8049751133224596,5.33110861887155,2.5261335055490903,4.18122099961562,1.1498876192559297
gdp_growth,2018,ETH,2017,226,10.33313992508122,6.81614778557282,3.5169921395083996,9.56418965754014,2.7480418719673203
gdp_growth,2018,IND,2017,226,6.881173573637292,6.45385134495295,0.4273222286843419,6.79538341902422,0.34153207407126995
gdp_growth,2018,IRN,2017,226,1.524601180699809,-3.74796015711334,5.2725613378131495,3.02685468694025,6.774814844053591
gdp_growth,2018,IRQ,2017,226,10.134655142929551,2.63385099105624,7.500804151873311,-1.81975035118309,4.45360134223933
gdp_growth,2018,ISR,2017,226,3.7094761820412177,4.05349952888294,0.344023346841722,4.34394518932547,0.29044566044253006
gdp_growth,2018,JOR,2017,226,2.7002648210991542,1.85383415616927,0.8464306649298843,2.50770398070352,0.65386982453425
gdp_growth,2018,KWT,2017,226,5.164275540408368,2.74333045031415,2.420945090094218,-4.71222270495362,7.455553155267769
gdp_growth,2018,LBN,2017,226,2.5249884248594205,-1.88470575631651,4.40969418117593,0.903028464073813,2.787734220390323
gdp_growth,2018,LBY,2017,226,-8.57814337927361,7.9413678529104,16.51951123218401,32.4918021862688,24.5504343333584
gdp_growth,2018,LKA,2017,226,6.195754719096437,2.31008425504933,3.8856704640471067,6.46068127080994,4.15059701576061
gdp_growth,2018,MAR,2017,226,3.0021111013088606,3.06564133025955,0.0635302289506896,5.05789816173446,1.99225683147491
gdp_growth,2018,MDV,2017,226,5.855242662003592,8.5689555834747,2.7137129214711084,7.07442863215275,1.4945269513219506
gdp_growth,2018,NPL,2017,226,2.5103748353750177,7.62237610397933,5.112001268604312,8.97727935643466,1.3549032524553306
gdp_growth,2018,OMN,2017,226,5.622865617963459,1.28710391543288,4.335761702530579,0.304057565922449,0.9830463495104311
