country_code,year,control_of_corruption,currency_depreciation_pct,current_account_pct_gdp,debt_to_gdp,exports_pct_gdp,fdi_net_inflows_pct_gdp,gdp_current_usd,gdp_growth,gdp_per_capita_usd,gini_index,government_effectiveness,imports_pct_gdp,inflation,official_exchange_rate_lcu_usd,political_stability,regulatory_quality,reserves_months_imports,rule_of_law,total_reserves_usd,unemployment_rate,youth_unemployment_rate
AFG,2010,-1.65416719999999,,-3.64331388234628,,,1.20311798981139,15856668555.8336,14.3624414710737,560.621505463146,,-1.5857412,,2.17853752389419,46.4524610013175,-2.53097419999999,-1.4285697,10.4573872731044,-1.8493765,5162440806.75156,7.809,10.041
AFG,2011,-1.5926582,0.634082093637926,-12.6195382087159,,,0.293025179616803,17805098206.3141,0.426354776777345,606.694676337726,,-1.6043337,,11.8041858089129,46.747007738581,-2.5512555,-1.4373007,10.3439728750425,-1.92548149999999,6344641959.56008,7.83,10.044
AFG,2012,-1.635471,8.929752861965138,-25.8706814974751,,,0.285440893554571,19907329777.5872,12.7522870926697,651.417134470046,,-1.4997935,,6.44121280934117,50.9214,-2.5040196,-1.2540947,8.67720885361815,-1.8835503,7152304397.72645,7.875,10.071
AFG,2013,-1.5860489,8.750937719701342,-25.290058564309,,,0.239801184405551,20146416757.5987,5.60074465863221,637.087099117099,,-1.50099379999999,,7.38577178397855,55.3775,-2.699732,-1.282454,8.58813766628177,-1.70220409999999,7288702710.90529,7.921,10.104
AFG,2014,-1.5607981,3.376822716807376,-15.7724198274304,,,0.209664794672203,20497128555.6972,2.72454336219565,625.054941813938,,-1.52460319999999,,4.67399603536345,57.2475,-2.3186705,-1.1832846,10.7026948461815,-1.63760859999999,7528549879.63682,7.915,10.094
AFG,2015,-1.5195275,6.805470180648414,-21.9126573355151,,,0.88400046336123,19134221644.7325,1.45131466066431,565.569730408751,,-1.4711716,,-0.661709164713742,61.1434615416667,-2.48125299999999,-1.06718849999999,9.77019396043118,-1.6427748,6976966153.82054,9.032,12.534
AFG,2016,-1.56501159999999,10.994837482308585,-14.9501951919169,,,0.516606084523093,18116572395.0772,2.26031420279821,522.082215583898,,-1.41773019999999,,4.38389195513915,67.8660857692308,-2.4834928,-1.36089939999999,11.8280603760738,-1.580107,7281910524.1067,10.116,14.932
AFG,2017,-1.54351939999999,0.2369641790558411,-18.9559612272258,,,0.274796791572807,18753456497.8159,2.6470032027451,525.469770891619,,-1.4421872,,4.97595150553833,68.0269040822312,-2.61393089999999,-1.4164481,12.1342766418313,-1.59509909999999,8097280955.90196,11.184,17.31
AFG,2018,-1.5398439,5.96285124216366,-21.5852741164653,,,0.661572217787196,18053222687.4126,1.18922812944517,491.337221382603,,-1.6312498,,0.626149149168847,72.083247177304,-2.5824048,-1.3029823,12.178586861258,-1.66687379999999,8206682106.31946,11.192,16.402
AFG,2019,-1.5013636,7.844682672415917,-20.1704643881064,,,0.124495985291258,18799444490.1128,3.91160341625552,496.6025042585,,-1.65408049999999,,2.30237251516834,77.7379491783367,-2.5893714,-1.2762178,13.7489091058633,-1.65715489999999,8497655795.34729,11.187,15.52
AFG,2020,-1.40089,-1.1891396063540838,-15.7183027911684,,10.4208171386207,0.0649939571808755,19955929052.1496,-2.35110067203466,510.787063366811,,-1.7167282,36.2890774127896,5.60188791482224,76.8135364354897,-2.5896897,-1.3026506,16.6316336551941,-1.65566449999999,9748946326.71795,11.71,16.053
AFG,2021,-1.22202489999999,,,,14.342152797537,0.144466946606861,14259995441.0759,-20.7388393676343,356.496214115892,,-1.7059035,37.06956357719,5.13320340824963,,-2.4506389,-1.40994469999999,,-1.7202682,,12.006,16.013
AFG,2022,-1.1719937,,,,18.3800424016375,,14497243872.1337,-6.24017199240269,357.261152798144,,-1.9646115,54.5054272070161,13.7121023720065,,-2.4492487,-1.4229756,,-1.8586889,,14.1,17.539
AFG,2023,-1.1987543,,,,16.2352784419391,,17152234636.8715,2.26694373649188,413.757894705303,,-2.0924592,50.764299620256,-4.64470870797775,,-2.3922828,-1.43056079999999,,-1.89680499999999,,14.008,17.494
AFG,2024,-1.3087183,,,,15.7027518479481,,17778508875.7396,1.87319280045979,416.871146273728,,-1.9339966,68.0602732398198,-6.60118564073726,,-2.2052112,-1.538435,,-1.93548869999999,,13.687,17.235
AFG,2025,,,,,,,,,,,,,,,,,,,,13.351,16.785
ARE,2010,0.9100894,,,,77.4455521760851,2.85854098227163,307736348527.33,1.60285004336325,44795.2846234991,,0.8322561,58.040188125584,0.877983288285867,3.6725,0.8134966,0.740264,,0.0791468,32785291883.4009,2.798,7.191
ARE,2011,1.1319379,0.0,,,85.6286738245297,1.93886244385384,368881033962.57,6.73651167897515,51921.8890746408,,0.9928203,58.5481559098621,0.87734659568512,3.6725,0.8143482,0.8903942,,0.4251627,37269318422.5758,2.587,6.856
ARE,2012,1.0894763,0.0,,,95.6008433485867,2.43554180804761,392793559050.783,4.68325642918792,53141.6251661086,,1.1560961,61.036813624374,0.662268900269009,3.6725,0.8029803,0.8455589,,0.3671791,47035150430.9523,2.323,6.467
ARE,2013,1.1513193,0.0,,1.80326819075483,95.755207057533,2.3838227555723,409632574702.715,4.9184505919085,53247.2278745159,32.5,1.1923106,61.6429155817142,1.1011183637571,3.6725,0.7738837,0.9903687,,0.41415,68202650660.2746,2.125,6.116
ARE,2014,0.9856797,0.0,,,94.7738651442525,2.60546090290076,424935834104.193,4.63291785879667,52725.2307981936,,1.4160016,64.7417651694601,2.34626865671643,3.6725,0.8984847,1.0740464,,0.3502594,78424381665.0826,1.999,5.823
ARE,2015,0.9199437,0.0,,,93.8625203312699,2.23861341413826,381973135513.065,7.08766622657654,44910.3458860776,,1.4040254,70.4236225679817,4.06996608361593,3.6725,0.8382509,1.1787876,,0.3509975,93929134196.4176,1.793,5.444
ARE,2016,1.1064348,0.0,,,94.4747232332881,2.51620120421066,381717208620.964,5.65790147196586,42721.1136110991,,1.4113666,70.9202430070485,1.61748808904198,3.6725,0.6925969,1.0781755,,0.4205051,85390832746.3078,1.64,5.107
ARE,2017,1.0762151,0.0,,,94.737385589121,2.5669608321193,403365056078.846,-1.06137114472548,43733.6242018215,,1.3782191,70.7391380638734,1.96682557818842,3.6725,0.7192871,1.1113817,,0.3834887,95377648625.516,2.462,7.474
ARE,2018,1.0948106,0.0,,,90.8429799324319,2.35729206588897,440560003161.236,1.53720634021511,47135.3478795605,26.4,1.4114572,63.9040622338676,3.06863379251997,3.6725,0.8336611,1.079234,,0.3893195,99503335478.7452,2.236,6.747
ARE,2019,1.0878297,0.0,,,93.3023068879995,4.11928554446951,433926218686.108,1.27129120536284,45938.6084572227,,1.3982083,70.5198421376147,-1.93108114782173,3.6725,0.8295526,1.1457173,,0.4262682,108359358451.761,2.331,7.325
ARE,2020,1.0614313,0.0,,,98.0724956970145,5.56735667729859,357161776271.328,-8.69343363776639,37991.738387966,,1.0036502,83.2194445309836,-2.07940317940944,3.6725,0.826942,1.0663206,,0.3974987,106701571777.291,4.294,13.482
ARE,2021,1.0349829,0.0,,,100.642599583908,4.89230595097426,422441282436.237,4.55280140106356,44118.4936214315,,1.0744083,82.2668014928681,0.179935336174431,3.6725,0.839581,1.0613347,,0.338504,131116705892.304,3.105,9.737
ARE,2022,1.0223468,0.0,,,102.051988781325,4.44591398367961,511403404642.173,7.51452414254605,50759.7590190204,,1.133184,83.689671850569,5.29122604376849,3.6725,0.883216,1.0576162,,0.409903,138433303844.914,2.872,9.992
ARE,2023,0.9918577,0.0,13.1295797567307,,106.846123390953,5.87183983564899,522622268401.125,4.30113648499413,49850.6945082084,,1.3100836,92.1988267361531,1.62670837213248,3.6725,0.7829523,1.105352,4.61577821903282,0.4492886,189490945175.271,2.151,6.351
ARE,2024,1.1702182,0.0,14.4792979326645,,,8.26261604873876,552324919095.872,3.99181200361831,50273.5126243239,,1.2599659,,1.66336510224894,3.6725,0.7886704,1.1257177,5.19940206842546,0.4968448,237931339945.397,2.16,6.425
ARE,2025,,0.0,,,,,,,,,,,1.250865245598,3.6725,,,,,292319262021.321,2.174,6.451
BGD,2010,-1.0218466,,1.82909794723498,,16.0241126856916,1.06896766308322,115275540051.262,5.57178818533122,757.385280361508,32.1,-0.807076799999999,21.7787299851405,8.12667639169917,69.6492916666667,-1.4437712,-0.8368896,4.32087922221628,-0.8477644,11174828666.9521,3.379,6.289
BGD,2011,-1.0523775,6.46540435024759,-0.125842241657654,,19.9220749554939,0.983399364184761,128607482310.357,6.46437912497728,837.336944695647,,-0.8372577,27.4987748801959,11.3951651552399,74.1524,-1.4544464,-0.8270946,2.78355229779506,-0.6998395,9174749651.12681,3.737,7.429
BGD,2012,-1.12133289999999,10.397854059117844,1.93195276968292,,20.1615888640625,1.18850391920183,133310747603.483,6.52145877906443,859.680536375497,,-0.7988014,27.9493338849842,6.21750422069284,81.8626583333333,-1.4690337,-0.978781999999999,3.85125480802239,-0.9887756,12754226899.6072,4.07,8.538
BGD,2013,-1.1326018,-4.592354328423414,1.3723251518825,,19.5378741098798,1.73532012481503,149998957434.186,6.01360565834344,958.262989798283,,-0.773905699999999,26.7585286129376,7.53040640913172,78.103235,-1.771799,-0.9494963,4.90974781514545,-0.9749211,18087689200.062,4.426,9.674
BGD,2014,-1.1845563,-0.5913028655812983,0.437159797644511,,18.9896599950107,1.46870305074204,172886611653.786,6.0610593588495,1094.46199702838,,-0.6851605,25.5244202017989,6.99163889220849,77.6414083333333,-1.0510112,-0.8964974,5.58168526462513,-0.851857499999999,22319788312.4798,4.417,10.122
BGD,2015,-1.0798121,0.3934756034929322,1.32188871858147,,17.3366737865485,1.4507824552936,195146608978.131,6.55263987816197,1224.38647668165,,-0.6547007,24.7493225204896,6.19428022984984,77.9469083333333,-1.331635,-0.776809499999999,6.8309139901541,-0.856926099999999,27493077971.9949,4.397,10.561
BGD,2016,-1.0667924,0.668638878022719,0.351171861174517,,13.9212044814459,0.879528340271998,265224515675.034,7.11347821270093,1649.28380858601,32.4,-0.5337691,17.4129456531683,5.51352572692995,78.4680916666667,-1.3416192,-0.7592301,7.60387702099135,-0.9068902,32283838538.9037,4.35,10.956
BGD,2017,-1.062185,2.5098737055646185,-2.03756600416726,,12.8197468906003,0.616341784631384,293732446624.596,6.59024999794057,1811.08221668646,,-0.573203,17.179983781834,5.70207015717239,80.4375416666667,-1.3289506,-0.7430899,6.76886499116675,-0.924304999999999,33431482893.1712,4.372,12.101
BGD,2018,-1.0964787,3.765232237641815,-2.20783912081882,,12.6747879443391,0.75354913412869,321362752441.78,7.31941263014136,1965.24372731467,,-0.6193938,19.8398437797492,5.54362139486476,83.4662019166666,-1.02517179999999,-0.7854912,5.67626909607111,-0.9096266,32028383716.595,4.439,11.907
BGD,2019,-1.1006451,1.1828986591712287,-0.839485005371136,,13.0947573353039,0.543244141585063,351231654603.692,7.88191515117722,2129.79896954606,,-0.5970582,18.4832971559365,5.59199639930629,84.4535225,-0.996755,-0.8895369,5.85933450460047,-0.9419472,32696936140.2925,4.504,11.742
BGD,2020,-1.07605779999999,0.4947918740354384,0.318940441964321,,10.4427880616037,0.407859894856915,373979442362.193,3.44801755122445,2248.85078828233,,-0.7213698,15.8286593146113,5.69107474746211,84.8713916666667,-1.01518479999999,-0.8942304,8.65813724626272,-0.8969166,43171735335.8001,5.539,13.473
BGD,2021,-1.0928915,0.2502275256277164,-3.78969259910935,,10.6627789004134,0.414118154040593,416271647911.014,6.93867912442445,2482.84917843357,,-0.563899399999999,17.0612258032497,5.54565430773473,85.08376325,-1.0535518,-0.871176499999999,6.29023985723134,-0.974914899999999,46165532457.1555,5.457,12.72
BGD,2022,-1.17834859999999,7.829568104694876,-3.81010813041237,,12.8822264348985,0.347960024540439,460131689083.083,7.09982877575158,2716.48592780431,30.9,-0.62345,20.897740835675,7.69695437176898,91.7454544396961,-1.0954422,-0.9240476,4.18907976493715,-0.973641299999999,33747202271.7021,4.593,10.985
BGD,2023,-1.1987203,15.874388487943856,-1.64602823544154,,13.1571638341204,0.335721505298968,437415333018.291,5.77511237007889,2551.01773827307,,-0.5574534,17.8258075763392,9.8835030377921,106.309484297483,-1.0359445,-0.9009111,3.3558121828929,-0.9020256,21859709190.8892,3.352,7.905
BGD,2024,-1.1021569,8.742559105222805,-0.669466607987832,,10.4611878291715,0.283870773350074,450119432068.852,4.22325911250161,2593.41611680774,,-0.618974599999999,16.3168879748762,10.4657482763412,115.603653796648,-1.46295089999999,-0.9500708,3.07374348965567,-0.9600594,21394795733.0405,3.635,9.097
BGD,2025,,5.464518292387368,-0.0524732355435052,,11.1161085689856,0.404544313117544,456319229255.578,3.48990671836833,2597.34352335275,,,16.8344754735707,8.7687628116114,121.920836605034,,,3.91092137452087,,28562651500.7357,3.778,9.385
BHR,2010,0.15202,,2.8727610009228,29.0713708137176,66.7027150376276,0.581105356633959,26805984042.5532,4.3342989754845,21819.3291098099,,0.3995029,48.8587714119882,1.96188468334623,0.376,-0.7371495,0.8816129,3.75492330902566,0.1010185,5299463737.03106,1.13,4.953
