country_code,forecast_2024,actual_2024,error,abs_error,variable
AFG,0.2403952486231392,1.87319280045979,1.6327975518366507,1.6327975518366507,gdp_growth
ARE,3.030497413092306,3.99181200361831,0.9613145905260039,0.9613145905260039,gdp_growth
BGD,6.602734651955862,4.22325911250161,-2.3794755394542513,2.3794755394542513,gdp_growth
BHR,2.816348166510859,2.89710543153512,0.08075726502426095,0.08075726502426095,gdp_growth
BTN,3.9639164842885775,7.49856206754038,3.5346455832518027,3.5346455832518027,gdp_growth
DJI,4.958660962162148,6.98048467276334,2.0218237106011916,2.0218237106011916,gdp_growth
DZA,1.839486861021788,3.69999999907979,1.860513138058002,1.860513138058002,gdp_growth
EGY,3.898854588442159,2.3991692678251,-1.499685320617059,1.499685320617059,gdp_growth
ETH,8.914406838761401,7.61277447616879,-1.3016323625926116,1.3016323625926116,gdp_growth
IND,5.597401029572365,7.09927893176518,1.501877902192815,1.501877902192815,gdp_growth
IRN,1.1002292398087412,3.66312057949303,2.562891339684289,2.562891339684289,gdp_growth
IRQ,4.955393063940586,-1.54525198319173,-6.500645047132316,6.500645047132316,gdp_growth
ISR,4.384296113944994,0.953618469238535,-3.430677644706459,3.430677644706459,gdp_growth
JOR,2.1653943095876707,2.55605891810194,0.3906646085142693,0.3906646085142693,gdp_growth
KWT,2.64641580286023,-1.47401818168846,-4.12043398454869,4.12043398454869,gdp_growth
LBN,-2.1295019823290198,-7.07989192861814,-4.950389946289119,4.950389946289119,gdp_growth
LBY,-0.3568425187409523,1.89995052025442,2.2567930389953723,2.2567930389953723,gdp_growth
LKA,4.09226895105208,4.99241614398109,0.9001471929290092,0.9001471929290092,gdp_growth
MAR,2.7194656923054854,3.79336515978963,1.0738994674841447,1.0738994674841447,gdp_growth
MDV,6.695572122740625,3.49440422654285,-3.201167896197775,3.201167896197775,gdp_growth
NPL,4.863215249110446,3.67787459697703,-1.1853406521334162,1.1853406521334162,gdp_growth
OMN,3.2509666513806263,1.63163231397978,-1.6193343374008464,1.6193343374008464,gdp_growth
PAK,4.6895472167479815,3.08176295579301,-1.6077842609549715,1.6077842609549715,gdp_growth
PSE,3.7649810521969984,-22.8573273913324,-26.6223084435294,26.6223084435294,gdp_growth
QAT,3.6208058191196857,3.10963283242745,-0.5111729866922357,0.5111729866922357,gdp_growth
SAU,4.935920676491753,2.64893068308965,-2.2869899934021025,2.2869899934021025,gdp_growth
SDN,3.1272721994237207,-13.9643378424022,-17.09161004182592,17.09161004182592,gdp_growth
SOM,6.487184481723081,4.11139335779471,-2.375791123928371,2.375791123928371,gdp_growth
TUN,1.4290000723520104,1.61444564976986,0.18544557741784962,0.18544557741784962,gdp_growth
TUR,5.98094725466485,3.3276230893799,-2.6533241652849497,2.6533241652849497,gdp_growth
AFG,-0.9482153317187447,-6.60118564073726,-5.6529703090185155,5.6529703090185155,inflation
ARE,1.5828557085569734,1.66336510224894,0.08050939369196652,0.08050939369196652,inflation
BGD,8.684683770355834,10.4657482763412,1.7810645059853663,1.7810645059853663,inflation
BHR,0.5552271813177774,0.919635459817651,0.3644082784998737,0.3644082784998737,inflation
BTN,4.853502382366626,2.76131569624098,-2.092186686125646,2.092186686125646,inflation
DJI,1.6497462418076974,2.1120116728497,0.46226543104200246,0.46226543104200246,inflation
DZA,7.911934826793324,4.04611455313434,-3.8658202736589837,3.8658202736589837,inflation
EGY,26.093671376436006,28.2705899322083,2.1769185557722928,2.1769185557722928,inflation
ETH,26.158355994768474,21.0377460577711,-5.120609936997376,5.120609936997376,inflation
IND,5.584764401477384,4.95303550973661,-0.6317288917407735,0.6317288917407735,inflation
IRN,38.736015998476226,32.455871402917,-6.2801445955592285,6.2801445955592285,inflation
IRQ,3.7043601227865364,2.6116961151764,-1.0926640076101362,1.0926640076101362,inflation
ISR,3.0665609517712475,3.07480889805025,0.008247946279002605,0.008247946279002605,inflation
JOR,2.0998852156776344,1.55659611283953,-0.5432891028381044,0.5432891028381044,inflation
KWT,3.2692598505426513,2.89855072463762,-0.37070912590503147,0.37070912590503147,inflation
LBN,158.32400743993952,45.2430422716718,-113.08096516826772,113.08096516826772,inflation
LBY,4.974522597927342,2.12615766885021,-2.848364929077132,2.848364929077132,inflation
LKA,14.045460954256873,-0.42936004906973,-14.474821003326603,14.474821003326603,inflation
MAR,4.556423766583954,0.985256592004507,-3.5711671745794473,3.5711671745794473,inflation
MDV,2.730923207644831,1.41093527910134,-1.3199879285434908,1.3199879285434908,inflation
NPL,6.918772952535182,4.6850965426577,-2.233676409877482,2.233676409877482,inflation
OMN,1.0313848711407618,0.593589236248469,-0.4377956348922928,0.4377956348922928,inflation
PAK,22.79515613139812,12.6325318530452,-10.162624278352919,10.162624278352919,inflation
PSE,4.187575113525538,53.6691458303782,49.48157071685266,49.48157071685266,inflation
QAT,2.709647355210943,1.26734310292375,-1.4423042522871927,1.4423042522871927,inflation
SAU,2.165975420338428,1.68792112375809,-0.47805429658033805,0.47805429658033805,inflation
SSD,31.58305826667309,91.4408220769046,59.8577638102315,59.8577638102315,inflation
TUN,8.051506771637573,7.20661657168794,-0.8448901999496332,0.8448901999496332,inflation
TUR,41.05207593437699,58.5064507300342,17.454374795657216,17.454374795657216,inflation
